Name,URL,DR,Traffic,Pricing,Category,Dofollow,Account,Submission
Prodpapa,https://www.prodpapa.com,6,0,paid,Anything,Dofollow,Required,https://www.prodpapa.com/submit
Million Devs,https://milliondevs.com,6,0,free,Anything,Dofollow,Required,
Every AI,https://every-ai.com,5,213,free,AI Tools,Dofollow,Optional,https://every-ai.com/submit-tool/
Hot100.ai,https://www.hot100.ai,5,0,free,AI Tools,Dofollow,Required,https://www.hot100.ai/submit
Business Tool Vault,https://www.businesstoolvault.com,5,0,free,Anything,Dofollow,Optional,
Future AGI Tools,https://www.futureagitools.com,5,13,free,AI Tools,Dofollow,Optional,https://www.futureagitools.com/submit-a-site
SaaS Starters,https://saasstarters.com,5,94,free,Boilerplates,Dofollow,Optional,https://github.com/smirnov-am/awesome-saas-boilerplates/pulls
Tools No Code,https://www.toolsnocode.com,5,10,paid,AI Tools,Dofollow,Optional,
Free Tools Land,https://freetoolsland.io,5,0,free,Dev Tools,Dofollow,Optional,https://freetoolsland.io/submit
100 AI Apps,https://100apps.org,5,5,free,AI Tools,Dofollow,Required,https://100apps.org/submit
Invent List,https://inventlist.com,5,0,paid,Anything,Dofollow,Required,https://inventlist.com/sites/new
AI Tools Up,https://aitoolsup.com,4,0,mixed,AI Tools,Dofollow,Required,https://aitoolsup.com/submit-tool/
AI Generation,https://www.theaigeneration.com,4,9,free,AI Tools,Dofollow,Optional,https://www.theaigeneration.com/add/
AI Tools Explorer,https://alltheaitools.com,4,0,free,AI Tools,Dofollow,Required,https://alltheaitools.com/submit-tool
Nuxt Starters,https://nuxtstarters.com,4,0,free,Boilerplates,Dofollow,Optional,https://nuxtstarters.com/submit
Supatools,https://supatools.dev,4,0,free,Dev Tools,Dofollow,Optional,https://supatools.dev/submit-tool
Tool Slash,https://toolslash.com,3,0,free,Anything,Dofollow,Optional,https://toolslash.com/submit-tool
IndieProducts,https://www.indieproducts.io,3,7,free,Anything,Dofollow,Required,
AI SEO List,https://aiseolist.com,3,1,free,AI Tools,Dofollow,Optional,https://aiseolist.com/add/
Black Friday Times,https://blackfridaytimes.com,3,0,paid,Anything,Dofollow,Optional,
Product Inspire,https://www.productinspire.com,2,0,paid,Anything,Dofollow,Required,https://www.productinspire.com/dashboard/startup/create
Software Growth,https://softwaregrowth.io/saas-boilerplates,2,15,free,Boilerplates,Dofollow,Optional,https://softwaregrowth.io/submit-new-saas-boilerplate
Deal Hunt,https://dealhunt.cc,2,0,mixed,Anything,Nofollow,Required,https://dealhunt.cc/submit-deal
Toolsummary,https://toolsummary.com,1,3,free,AI Tools,Dofollow,Optional,https://toolsummary.com/submit-ai-tool
Next.js Tools,https://nextjs.tools,1,0,mixed,Boilerplates,Nofollow,Optional,https://nextjs.tools/submit
Maker Launch Deals,https://makerlaunch.deals,1,0,free,Anything,Dofollow,Required,https://makerlaunch.deals/submit
Mainstream,https://mainstream.dev,0,0,free,Dev Tools,Nofollow,Optional,https://mainstream.dev/submit
Efficiency Hub,https://www.efficiencyhub.org,0,0,free,Anything,Dofollow,Required,https://www.efficiencyhub.org/submit-app
AI Infinity,https://github.com/meetpateltech/AI-Infinity,96,45M,free,AI Tools,Nofollow,Optional,https://forms.gle/Ze6pdWzmweCfKWnLA
Source Forge,https://sourceforge.net,92,2.2M,paid,Anything,Nofollow,Required,https://sourceforge.net/software/vendors/
G2,https://www.g2.com,91,525K,free,Anything,Nofollow,Required,https://www.g2.com/add_product_requests/new
Neil Patel AI Tools,https://aitools.neilpatel.com,91,1.6K,free,AI Tools,Dofollow,Optional,https://aitools.neilpatel.com/submit/
Crunchbase,https://www.crunchbase.com,91,2.1M,free,Anything,Nofollow,Required,https://www.crunchbase.com/add-new
Hacker News,https://news.ycombinator.com/show,90,827K,free,Anything,Dofollow,Required,https://news.ycombinator.com/submit
