Name,URL,DR,Traffic,Pricing,Category,Dofollow,Account,Submission
Product Hunt,https://www.producthunt.com,91,248K,free,Anything,Dofollow,Required,https://www.producthunt.com/posts/new
Indie Hackers,https://www.indiehackers.com/products,80,9.9K,free,Anything,Nofollow,Required,https://www.indiehackers.com/products/new
Fazier,https://fazier.com,73,268,mixed,Anything,Dofollow,Required,https://fazier.com/launch
Peerlist Launchpad,https://peerlist.io,71,61K,free,Anything,Nofollow,Required,https://peerlist.io/user/projects/add-project
Uneed,https://www.uneed.best?atp=listingcat,68,699,mixed,Anything,Dofollow,Required,https://www.uneed.best/submit-a-tool?atp=listingcat
PeerPush,https://peerpush.net,64,0,free,Anything,Dofollow,Required,https://peerpush.net/submit
TinyLaunch,https://www.tinylaun.ch,61,1.1K,mixed,Anything,Dofollow,Required,https://www.tinylaun.ch/dashboard/startups/new
Super Launch,https://www.superlaun.ch,55,0,mixed,Anything,Nofollow,Required,https://www.superlaun.ch/dashboard/submit
DevHunt,https://devhunt.org,54,2.6K,mixed,Dev Tools,Dofollow,Required,https://devhunt.org/account/tools/new
Firsto,https://firsto.co,52,0,mixed,Anything,Nofollow,Required,https://firsto.co/projects/submit
Microlaunch,https://microlaunch.net,52,364,mixed,Anything,Nofollow,Optional,https://tally.so/r/mYaR6N
Tiny Startups,https://www.tinystartups.com,49,15,free,Anything,Nofollow,Optional,https://tally.so/r/npZLWP
Product Burst,https://productburst.com,48,0,free,Anything,Nofollow,Required,https://productburst.com/pre-launch
SoloPush,https://solopush.com,44,0,free,Anything,Dofollow,Required,https://solopush.com/submit
Open Launch,https://open-launch.com,43,0,mixed,Anything,Dofollow,Required,https://open-launch.com/projects/submit
Ctrlalt.cc,https://ctrlalt.cc,39,0,free,Anything,Dofollow,Required,
Top 10 Now,https://top10.now,39,0,mixed,Anything,Nofollow,Required,https://top10.now/submit
OpenHunts,https://openhunts.com,37,0,mixed,Anything,Dofollow,Required,https://openhunts.com/projects/submit
ufind.best,https://ufind.best,37,0,mixed,AI Tools,Nofollow,Required,https://ufind.best/products/create
Huzzler,https://huzzler.so,32,0,free,Anything,Nofollow,Required,https://huzzler.so/products/create
Launch Igniter,https://launchigniter.com,32,3,mixed,Anything,Nofollow,Required,https://launchigniter.com/submit
Startuplist.ing,https://startuplist.ing,31,0,free,Anything,Dofollow,Required,https://startuplist.ing/products/new
It's Launched,https://itslaunched.com,29,0,free,Anything,Dofollow,Required,https://itslaunched.com/add-product
SaaS Page,https://www.saaspa.ge,21,0,mixed,Anything,Dofollow,Required,https://www.saaspa.ge/submit
Awesome Indie,https://www.awesomeindie.com,21,0,free,Anything,Dofollow,Required,https://awesomeindie.com/submit
Launch Vault,https://www.launchvault.dev,17,0,mixed,Anything,Nofollow,Required,https://www.launchvault.dev/projects/submit
Idea Kiln,https://ideakiln.com,17,0,mixed,Anything,Nofollow,Required,https://ideakiln.com/dashboard/submit-idea
Simple Lister,https://simplelister.com,16,2,mixed,Anything,Nofollow,Required,https://simplelister.com/submit
Launch Day,https://www.itslaunchday.com,14,28,paid,Anything,Dofollow,Required,https://www.itslaunchday.com/submit-product
ShipSquad,https://shipsquad.space,12,0,free,Anything,Dofollow,Required,https://shipsquad.space/saas/create
JustGotFound,https://justgotfound.com,11,0,free,Anything,Dofollow,Required,https://justgotfound.com/submit
Launch Radar,https://www.launchradar.xyz,0,0,mixed,Anything,Nofollow,Required,https://www.launchradar.xyz/submit
